CampAbr,sessionNo,dateNo,am_pm
NN,3,201825,AM
NN,5,201826,AM
NN,6,201826,PM
NN,7,201828,AM
NN,9,201829,AM
NN,11,201830,AM
NN,13,201831,AM
NN,8,201828,PM
NN,19,201829,PM
NN,12,201830,PM
WK,11,201830,AM
WK,13,201831,AM
WK,15,201832,AM
WK,17,201833,AM
WK,12,201830,PM
WK,14,201831,PM
WK,16,201832,PM
WK,18,201833,PM
ME,1,201824,AM
ME,3,201825,AM
ME,5,201826,AM
ME,7,201828,AM
ME,9,201829,AM
ME,2,201824,PM
ME,4,201825,PM
ME,6,201826,PM
ME,8,201828,PM
ME,10,201829,PM
SG,1,201824,AM
SG,3,201825,AM
SG,15,201832,AM
SG,17,201833,AM
SG,2,201824,PM
SG,4,201825,PM
SG,16,201832,PM
SG,18,201833,PM
FF,1,201824,AM
FF,3,201825,AM
FF,5,201826,AM
FF,7,201828,AM
FF,9,201829,AM
FF,11,201830,AM
FF,13,201831,AM
FF,15,201832,AM
FF,17,201833,AM
FF,2,201824,PM
FF,4,201825,PM
FF,6,201826,PM
FF,8,201828,PM
FF,10,201829,PM
FF,12,201830,PM
FF,14,201831,PM
FF,16,201832,PM
FF,18,201833,PM
NB,3,201825,AM
NB,7,201828,AM
NB,9,201829,AM
NB,13,201831,AM
NB,15,201832,AM
NB,17,201833,AM
NB,4,201825,PM
NB,14,201831,PM
GR,3,201825,AM
GR,9,201829,AM
NP,5,201826,AM
NP,13,201831,AM
NP,15,201832,AM
NP,17,201833,AM
NP,2,201824,PM
NP,4,201825,PM
NP,8,201828,PM
NP,10,201829,PM
NP,12,201830,PM
NP,16,201832,PM
SS,1,201824,AM
SS,3,201825,AM
SS,5,201826,AM
SS,7,201828,AM
SS,9,201829,AM
SS,11,201830,AM
SS,13,201831,AM
SS,15,201832,AM
SS,17,201833,AM
SS,2,201824,PM
SS,4,201825,PM
SS,6,201826,PM
SS,8,201828,PM
SS,10,201829,PM
SS,12,201830,PM
SS,14,201831,PM
SS,16,201832,PM
SS,18,201833,PM
AB,1,201824,AM
AB,5,201826,AM
AB,7,201828,AM
AB,11,201830,AM
AB,15,201832,AM
FR,5,201826,AM
FR,2,201824,PM
FR,16,201832,PM
TNP,3,201825,AM
TNP,7,201828,AM
TNP,9,201829,AM
TNP,11,201830,AM
TNP,14,201831,PM
MM,6,201826,PM
GT,13,201831,AM
SSI,18,201833,PM
SPW,15,201832,AM
SPW,17,201833,AM
SPW,4,201825,PM
SPW,10,201829,PM
SPW,14,201831,PM
